;UAI;Position;IPS voie GT
2033;9760163Y;-12.769, 45.221;67.9
2034;9760316P;-12.906, 45.155;89.4
2035;0110022P;43.178, 3.002;110.5
2036;0160022M;46.009, 0.672;99.1
2037;0160065J;45.694, -0.331;120.1
2038;0301552Z;43.832, 4.385;99.6
2039;0301722J;43.981, 4.791;122.8
2040;0331495W;44.852, -0.595;134.2
2041;0331501C;44.843, -0.552;129.7
2042;0340028W;43.731, 3.315;112.8
2043;0340038G;43.612, 3.885;128.8
2044;0340042L;43.612, 3.891;105.6
2045;0340991T;43.621, 3.870;133.6
2046;0340992U;43.348, 3.212;118.6
2047;0342090M;43.690, 4.137;122.6
2048;0480025S;44.521, 3.512;117.2
2049;0480688M;44.804, 3.274;114.9
2050;0641907A;43.504, -1.452;126.0
2051;0660011D;42.691, 2.909;96.9
2052;0660021P;42.630, 2.423;111.6
2053;0660059F;42.692, 2.883;126.6
2054;0660077A;42.686, 2.882;116.3
2055;0010014K;46.197, 5.226;108.0
2056;0070029U;45.067, 4.836;107.6
2057;0071397F;44.909, 4.426;110.3
2058;0090018W;42.978, 1.150;109.4
2059;0120006S;44.568, 2.255;107.5
2060;0120031U;44.355, 2.037;109.9
2061;0120051R;44.100, 3.078;114.1
2062;0120052S;44.525, 2.770;109.8
2063;0260019E;44.380, 4.699;104.7
2064;0260022H;45.045, 5.058;117.2
2065;0260035X;44.924, 4.903;118.6
2066;0260066F;45.047, 5.041;126.4
2067;0261397C;45.194, 4.816;98.2
2068;0290044R;48.453, -4.250;118.8
2069;0290062K;47.861, -4.233;117.6
2070;0310046G;43.598, 1.405;124.0
2071;0310053P;43.639, 1.441;106.8
2072;0311138U;43.576, 1.471;129.0
2073;0311334G;42.792, 0.599;124.4
2074;0312290W;43.530, 1.353;122.0
2075;0312938A;43.608, 1.283;129.3
2076;0313083H;43.695, 1.580;126.9
2077;0331760J;44.837, -0.650;123.2
2078;0350777E;48.117, -1.679;133.4
2079;0350778F;48.122, -1.659;133.7
2080;0380081G;45.536, 4.858;113.9
2081;0380092U;45.361, 5.600;130.5
2082;0381603L;45.176, 5.745;117.8
2083;0381630R;45.206, 5.749;131.9
2084;0381660Y;45.392, 5.255;118.5
2085;0381678T;45.523, 4.871;127.0
2086;0382440W;45.609, 5.155;109.0
2087;0382780R;45.181, 5.694;118.4
2088;0382854W;45.527, 4.877;127.3
2089;0460028F;44.895, 1.481;107.1
2090;0460038S;44.450, 1.441;120.7
2091;0590010R;50.688, 2.876;108.3
2092;0590011S;50.689, 2.871;116.4
2093;0590065A;50.377, 3.070;88.7
2094;0590110Z;50.648, 3.039;119.7
2095;0590192N;50.448, 3.444;107.0
2096;0593006X;50.642, 3.060;123.6
2097;0596854E;50.462, 3.583;83.8
2098;0596892W;50.368, 3.071;91.2
2099;0620006V;50.287, 2.766;118.8
2100;0650005C;43.063, 0.153;115.9
2101;0650038N;43.389, 0.056;110.4
2102;0650040R;43.107, -0.025;104.5
2103;0650062P;43.235, 0.074;120.6
2104;0693044J;45.737, 4.920;115.5
2105;0730005J;45.674, 6.389;109.8
2106;0730016W;45.565, 5.933;119.2
2107;0730760E;45.678, 6.391;115.6
2108;0731392S;45.551, 5.969;122.1
2109;0740047Z;46.372, 6.475;118.7
2110;0741443S;46.278, 6.721;132.0
2111;0810030T;43.699, 1.821;129.0
2112;0810033W;43.502, 2.380;102.5
2113;0810959C;43.626, 2.261;111.2
2114;0850142T;46.835, -1.878;113.2
2115;0910627M;48.676, 2.353;113.6
2116;0801327H;49.879, 2.297;109.0
2117;9710923B;16.256, -61.521;110.4
2118;9711033W;16.209, -61.779;103.0
2119;9711082Z;16.413, -61.515;88.9
2120;9711252J;18.097, -63.066;94.0
2121;0190062P;45.549, 2.308;115.1
2122;0470018P;44.498, 0.958;104.2
2123;0721548S;47.957, 0.167;108.8
2124;0010013J;46.202, 5.225;123.0
2125;0020032Z;49.565, 3.608;104.6
2126;0020049T;49.852, 3.300;102.2
2127;0040027H;44.101, 6.234;106.0
2128;0060001U;43.574, 7.117;104.8
2129;0060014H;43.560, 7.022;113.8
2130;0060677D;43.702, 7.271;129.4
2131;0060773H;43.709, 7.281;130.6
2132;0061642C;43.621, 7.042;145.3
2133;0061760F;43.654, 6.941;118.4
2134;0061852F;43.681, 7.200;103.8
2135;0100025Y;48.274, 4.075;106.4
2136;0130036U;43.281, 5.382;109.0
2137;0130037V;43.283, 5.434;91.2
2138;0130038W;43.239, 5.378;129.3
2139;0130040Y;43.297, 5.383;124.3
2140;0130049H;43.289, 5.365;109.5
2141;0130051K;43.294, 5.401;84.7
2142;0130053M;43.275, 5.426;102.3
2143;0131324U;43.320, 5.406;143.2
2144;0131328Y;43.300, 5.493;132.7
2145;0131339K;43.301, 5.395;125.2
2146;0131341M;43.283, 5.381;128.4
2147;0131347U;43.248, 5.408;133.3
2148;0131398Z;43.292, 5.388;115.6
2149;0131436R;43.286, 5.469;103.0
2150;0132410Z;43.413, 5.206;105.2
2151;0132472S;43.318, 5.410;114.4
2152;0132810J;43.292, 5.571;141.6
2153;0132974M;43.246, 5.392;115.5
2154;0133015G;43.446, 5.247;107.0
2155;0133244F;43.455, 5.479;124.2
2156;0133334D;43.279, 5.410;115.8
2157;0150030B;45.035, 3.082;111.5
2158;0160002R;45.650, 0.151;113.4
2159;0160083D;45.694, 0.119;114.5
2160;0161095D;45.633, 0.154;114.3
2161;0170060Y;45.735, -0.615;112.1
2162;0180005H;47.101, 2.414;107.9
2163;0190011J;45.160, 1.530;113.8
2164;0190058K;45.158, 1.521;124.1
2165;0210003P;47.195, 5.387;106.4
2166;0210017E;47.335, 5.018;117.0
2167;0211928G;47.349, 5.042;131.1
2168;0220027K;48.185, -2.759;99.9
2169;0220097L;48.562, -3.143;115.8
2170;0220102S;48.729, -3.456;123.1
2171;0221589H;48.174, -2.750;102.7
2172;0230051F;46.168, 1.856;111.5
2173;0240005A;44.857, 0.475;106.6
2174;0240024W;45.180, 0.720;115.5
2175;0240076C;44.860, 0.495;116.6
2176;0240092V;45.180, 0.777;123.7
2177;0241137F;45.182, 0.712;110.2
2178;0250007X;47.219, 5.977;109.6
2179;0250008Y;47.238, 6.020;123.6
2180;0250011B;47.239, 6.013;119.5
2181;0251711Z;47.254, 6.000;117.2
2182;0251994G;47.496, 6.810;97.3
2183;0280019U;48.734, 1.361;103.3
2184;0280044W;48.459, 1.474;111.9
2185;0281077U;48.419, 1.455;106.3
2186;0290012F;48.407, -4.481;117.4
2187;0290108K;48.391, -4.511;101.1
2188;0290164W;48.576, -3.835;116.3
2189;0290181P;48.383, -4.502;113.9
2190;0290206S;47.872, -3.561;118.0
2191;0290335G;48.409, -4.489;121.0
2192;0330115W;44.838, 0.215;100.1
2193;0330126H;44.802, -0.594;119.4
2194;0331504F;44.691, -0.511;137.6
2195;0331591A;44.850, -0.594;125.3
2196;0332081H;45.195, -0.749;101.7
2197;0332835C;44.991, -0.450;111.2
2198;0332870R;44.643, -1.058;123.0
2199;0350011X;48.348, -1.200;106.6
2200;0350787R;48.647, -2.005;131.5
2201;0350797B;48.119, -1.654;128.2
2202;0352533N;48.415, -1.742;117.4
2203;0360002G;46.589, 1.512;111.4
2204;0360005K;46.635, 1.068;107.7
2205;0360008N;46.817, 1.696;115.2
2206;0360505D;46.952, 1.997;125.1
2207;0360693H;46.811, 1.698;118.6
2208;0370016S;47.126, 0.984;113.4
2209;0370728R;47.390, 0.676;124.6
2210;0370748M;47.335, 0.651;124.0
2211;0371418R;47.423, 0.707;123.4
2212;0400002K;43.692, -0.278;104.1
2213;0400017B;43.897, -0.502;109.5
2214;0400067F;43.875, -0.494;116.7
2215;0410899E;47.572, 1.306;120.4
2216;0410954P;47.795, 1.072;121.7
2217;0420033H;46.044, 4.074;99.6
2218;0420040R;45.469, 4.512;102.6
2219;0420976H;45.429, 4.389;108.0
2220;0421025L;46.161, 4.173;109.7
2221;0422160V;45.452, 4.332;129.6
2222;0430021P;45.049, 3.895;112.1
2223;0430953C;45.130, 4.123;109.0
2224;0440001M;47.375, -1.182;111.8
2225;0440005S;47.728, -1.368;100.6
2226;0440029T;47.225, -1.545;126.2
2227;0440086E;47.237, -1.512;118.7
2228;0440119R;47.276, -2.235;115.0
2229;0440149Y;47.367, -1.182;120.9
2230;0440178E;47.275, -2.208;124.8
2231;0440288Z;47.205, -1.610;99.2
2232;0441653H;47.191, -1.517;128.7
2233;0442083A;47.261, -1.541;132.6
2234;0442094M;47.252, -1.609;128.6
2235;0442226F;47.321, -2.432;124.8
2236;0442778F;47.439, -1.499;124.9
2237;0442924P;47.371, -1.940;118.5
2238;0451462V;47.910, 1.968;116.8
2239;0451484U;47.786, 1.620;115.8
2240;0451526P;47.888, 1.897;121.4
2241;0490001K;47.466, -0.544;124.1
2242;0490055U;47.249, -0.070;96.4
2243;0490834R;47.716, -0.915;136.2
2244;0490838V;47.258, -0.085;119.0
2245;0490840X;47.681, -0.874;107.1
2246;0490952U;47.017, -1.066;120.7
2247;0492015Z;47.472, -0.556;129.9
2248;0492285T;47.253, -0.063;107.8
2249;0492420P;47.490, -0.507;117.8
2250;0510007F;48.977, 4.360;107.7
2251;0511145T;49.247, 4.014;115.2
2252;0511147V;48.978, 4.361;118.6
2253;0520021R;47.849, 5.326;105.2
2254;0520028Y;48.646, 4.973;99.6
2255;0520679F;48.639, 4.949;114.2
2256;0530004S;47.828, -0.698;112.4
2257;0530012A;48.068, -0.759;105.7
2258;0530016E;48.305, -0.629;110.6
2259;0530048P;48.074, -0.769;124.3
2260;0530068L;48.075, -0.787;108.9
2261;0540040A;48.681, 6.168;117.5
2262;0540070H;48.666, 6.161;113.3
2263;0540076P;49.158, 5.876;102.9
2264;0541318P;48.695, 6.174;136.5
2265;0542161F;48.683, 6.180;101.0
2266;0560025Y;47.747, -3.372;121.8
2267;0561627P;47.676, -2.773;117.2
2268;0570057C;49.111, 6.209;91.3
2269;0570085H;49.102, 6.707;98.4
2270;0570106F;49.360, 6.168;116.0
2271;0570211V;48.769, 7.270;125.1
2272;0570311D;49.104, 6.193;131.3
2273;0573366Z;49.358, 6.049;112.5
2274;0580031U;47.004, 3.162;113.9
2275;0580761M;46.829, 3.445;107.7
2276;0590282L;50.323, 3.397;87.0
2277;0592944E;50.627, 3.149;138.4
2278;0592976P;50.372, 3.279;109.3
2279;0593058D;51.029, 2.378;102.1
2280;0593077Z;50.719, 2.533;109.4
2281;0595867G;50.620, 3.047;105.1
2282;0600021X;49.259, 2.473;82.7
2283;0600040T;49.584, 3.015;101.3
2284;0601831P;49.300, 2.606;116.6
2285;0601864A;49.261, 2.425;93.7
2286;0622110G;50.945, 1.858;117.8
2287;0622116N;50.737, 2.244;132.2
2288;0622150A;50.870, 1.868;95.9
2289;0622196A;50.294, 2.766;127.5
2290;0624531N;50.464, 1.766;118.2
2291;0630019D;45.777, 3.095;125.6
2292;0631033F;45.541, 3.248;117.7
2293;0631070W;45.777, 3.067;122.9
2294;0631074A;45.771, 3.090;129.0
2295;0640055M;43.296, -0.365;126.5
2296;0640130U;43.305, -0.378;130.3
2297;0640137B;43.402, -1.458;113.6
2298;0670007U;48.826, 7.484;112.5
2299;0670084C;48.582, 7.763;99.6
2300;0670085D;48.561, 7.747;104.4
2301;0670114K;49.035, 7.960;112.2
2302;0671552Y;48.584, 7.748;143.1
2303;0671611M;48.585, 7.752;129.8
2304;0671615S;48.590, 7.753;134.3
2305;0672615D;48.537, 7.501;114.7
2306;0672806L;48.585, 7.695;99.8
2307;0680051L;48.037, 7.133;117.9
2308;0680141J;47.699, 7.298;132.9
2309;0681917P;47.813, 7.341;104.3
2310;0690023A;45.765, 4.837;121.1
2311;0690035N;45.736, 4.862;93.2
2312;0690085T;45.897, 4.445;117.2
2313;0690132U;45.771, 4.878;96.9
2314;0690514J;45.751, 4.872;135.0
2315;0690529A;45.767, 4.856;123.9
2316;0690533E;45.768, 4.847;133.1
2317;0690538K;45.741, 4.873;131.2
2318;0690563M;45.772, 4.823;134.7
2319;0690634P;45.737, 4.871;133.0
2320;0691654Y;45.629, 4.452;120.4
2321;0691659D;45.752, 4.819;124.8
2322;0693330V;45.601, 4.760;105.7
2323;0693566B;46.025, 4.313;98.9
2324;0694405N;45.733, 4.823;114.3
2325;0710018J;46.435, 4.273;110.3
2326;0710042K;46.621, 5.214;104.8
2327;0711422K;46.803, 4.866;105.4
2328;0711729U;46.784, 4.858;109.0
2329;0720021G;47.707, -0.082;110.4
2330;0720030S;48.013, 0.205;120.7
2331;0720843A;47.842, -0.337;111.7
2332;0721549T;48.188, 0.647;109.4
2333;0750330B;48.828, 2.373;134.9
2334;0750558Z;48.855, 2.375;109.3
2335;0750647W;48.866, 2.359;126.7
2336;0750648X;48.858, 2.363;142.0
2337;0750650Z;48.888, 2.393;84.8
2338;0750654D;48.846, 2.347;147.6
2339;0750656F;48.842, 2.339;145.1
2340;0750664P;48.876, 2.322;134.4
2341;0750668U;48.881, 2.343;124.8
2342;0750675B;48.864, 2.385;120.0
2343;0750702F;48.845, 2.257;139.2
2344;0750705J;48.896, 2.315;123.6
2345;0750714U;48.848, 2.407;129.6
2346;0753820V;48.854, 2.366;140.2
2347;0753849B;48.861, 2.302;145.0
2348;0753915Y;48.844, 2.309;144.6
2349;0753943D;48.862, 2.279;147.4
2350;0753959W;48.890, 2.326;142.5
2351;0754042L;48.830, 2.350;131.5
2352;0754086J;48.893, 2.361;119.2
2353;0754476H;48.839, 2.331;129.3
2354;0754666P;48.868, 2.282;140.6
2355;0755025E;48.866, 2.385;118.2
2356;0770933W;48.545, 2.659;104.9
2357;0770940D;48.262, 2.712;107.1
2358;0771720B;48.889, 2.596;129.7
2359;0772188K;48.596, 2.577;100.1
2360;0772228D;49.049, 2.669;107.6
2361;0772277G;48.551, 3.007;103.6
2362;0772294A;48.840, 2.649;111.7
2363;0772310T;48.531, 2.673;112.6
2364;0780515L;48.767, 1.945;126.5
2365;0781664K;48.646, 1.833;140.1
2366;0781883Y;48.764, 1.952;112.2
2367;0782556E;48.891, 2.064;116.7
2368;0782567S;48.799, 2.142;129.6
2369;0782568T;48.891, 2.123;145.0
2370;0782822U;48.846, 2.137;127.8
2371;0783282U;48.829, 2.132;143.4
2372;0783283V;48.943, 2.145;147.5
2373;0783431F;48.943, 2.160;108.9
2374;0790024X;46.315, -0.443;121.6
2375;0801206B;50.109, 1.835;119.8
2376;0801207C;49.893, 2.305;122.2
2377;0801479Y;49.894, 2.298;108.6
2378;0801700N;49.912, 2.322;83.5
2379;0801841S;49.886, 2.320;118.8
2380;0801853E;49.653, 2.582;96.6
2381;0801900F;50.150, 2.356;94.0
2382;0830007G;43.411, 6.065;105.9
2383;0830042V;43.428, 6.772;112.6
2384;0830053G;43.118, 5.939;107.9
2385;0830098F;43.139, 5.881;127.9
2386;0830100H;43.128, 5.956;121.2
2387;0830101J;43.120, 6.134;125.9
2388;0831242Z;43.250, 6.573;102.8
2389;0840005Z;43.927, 4.809;81.0
2390;0840015K;44.057, 5.058;109.2
2391;0840016L;44.050, 5.048;101.7
2392;0850068M;46.468, -0.817;108.9
2393;0850076W;46.869, -1.023;114.3
2394;0850079Z;46.774, -0.838;103.6
2395;0850118S;46.711, -1.114;127.2
2396;0860003L;46.815, 0.540;111.9
2397;0860034V;46.581, 0.338;122.3
2398;0860038Z;46.589, 0.365;105.4
2399;0870864S;45.826, 1.275;131.8
2400;0880004B;48.205, 6.715;103.4
2401;0880030E;48.077, 6.873;118.6
2402;0880055G;48.287, 6.956;103.2
2403;0891168L;47.737, 3.296;109.2
2404;0891200W;48.202, 3.303;101.5
2405;0900002N;47.633, 6.850;111.4
2406;0900029T;47.634, 6.857;118.9
2407;0910622G;48.436, 2.150;109.9
2408;0910819W;48.695, 2.191;148.7
2409;0910826D;48.671, 2.372;131.8
2410;0910975R;48.610, 2.313;107.1
2411;0911927A;48.699, 2.524;102.1
2412;0911946W;48.626, 2.326;105.3
2413;0912117G;48.644, 2.435;133.3
2414;0912321D;48.709, 2.243;139.5
2415;0920135X;48.769, 2.277;121.2
2416;0920141D;48.891, 2.208;95.0
2417;0920144G;48.878, 2.235;115.4
2418;0920145H;48.777, 2.307;148.6
2419;0921555R;48.796, 2.273;136.0
2420;0922443F;48.832, 2.234;105.0
2421;0922691A;48.910, 2.269;140.8
2422;0930119Z;48.925, 2.458;82.5
2423;0930125F;48.941, 2.364;81.3
2424;0930830X;48.899, 2.511;112.4
2425;0930965U;48.863, 2.479;130.1
2426;0931796X;48.853, 2.425;117.0
2427;0932030B;48.953, 2.369;78.2
2428;0932048W;48.940, 2.539;84.2
2429;0932116V;48.867, 2.437;112.5
2430;0932118X;48.944, 2.469;83.0
2431;0932121A;48.929, 2.367;81.4
2432;0932229T;48.925, 2.462;85.3
2433;0932260B;48.957, 2.535;86.4
2434;0932619S;48.926, 2.440;113.2
2435;0932654E;48.956, 2.384;105.7
2436;0940122X;48.796, 2.512;138.5
2437;0940123Y;48.757, 2.400;99.4
2438;0940585A;48.791, 2.497;122.0
2439;0941018W;48.784, 2.467;97.0
2440;0941301D;48.761, 2.329;117.3
2441;0941470M;48.799, 2.556;110.3
2442;0941943B;48.798, 2.451;126.2
2443;0941972H;48.809, 2.378;90.9
2444;0950649P;49.057, 2.090;111.6
2445;0950666H;48.951, 2.251;91.6
2446;0951763A;49.019, 2.209;115.4
2447;0951937P;49.070, 2.069;120.4
2448;0952158E;49.044, 2.508;120.0
2449;6200002H;41.926, 8.735;114.5
2450;7200583W;42.670, 9.440;99.5
2451;9710003B;16.256, -61.521;95.2
2452;9710062R;16.241, -61.534;110.4
2453;9711046K;16.256, -61.521;89.6
2454;9720479N;14.489, -60.953;123.1
2455;9730421V;5.650, -53.742;83.5
2456;9740471U;-21.042, 55.719;89.8
2457;9740952S;-21.375, 55.625;88.3
2458;9741173G;-20.950, 55.327;105.0
2459;9741231V;-21.079, 55.739;83.7
2460;9741255W;-21.334, 55.481;119.5
2461;9741270M;-20.905, 55.602;95.7
